nama_lokasi,alamat,deskripsi,longitude,latitude,January,February,March,April,May,June,July,August,September,October,November,December,Grand Total
Alun alun Ujungberung,"Jl. Kaum Kaler, Cigending, Ujung Berung, Kota Bandung, Jawa Barat",-,107.701,-6.9131,1037,953,974,819,1132,991,592,858,493,737,571,590,9747
Andir,"Jl. Srigunting Raya No.1, Sumur Bandung, Garuda, Andir, Kota Bandung, Jawa Barat 40117, Indonesia",Kecamatan Andir,107.575,-6.9127,0,0,7,116,205,206,329,387,526,424,365,3,2568
Antapani,"Jl. A.H. Nasution No.14, Jatihandap, Mandalajati, Kota Bandung, Jawa Barat 40193, Indonesia",Kecamatan Antapani,107.663,-6.9109,0,0,39,151,135,99,246,203,182,184,145,149,1533
Arcamanik,"Jl. Cisaranten Kulon, Cisaranten Kulon, Arcamanik, Kota Bandung, Jawa Barat 40294, Indonesia",Kecamatan Arcamanik,107.685,-6.9181,0,0,0,217,376,412,422,423,336,333,147,92,2758
Astana Anyar,"Jalan Bojongloa No. 69, Astanaanyar, Panjunan, Astanaanyar, Kota Bandung, Jawa Barat 40242, Indonesia",Kecamatan Astana Anyar,107.6,-6.9319,0,0,27,173,159,83,119,47,0,3,81,186,878
Babakan Ciparay,"Jl. Babakan Ciparay No.212, Babakan Ciparay, Kota Bandung, Jawa Barat 40223, Indonesia",Kecamatan Babakan Ciparay,107.583,-6.9373,0,0,4,80,99,81,127,114,145,150,166,154,1120
Badung Cafe,Jl. Dr. Cipto No. 3,-,107.599,-6.9066,631,632,560,582,563,510,443,495,422,457,484,591,6370
Balai Ridwan Kamil,"Jalan Pasir Koja, Jamika, West Java, 40181, Indonesia",Balai Ridwan Kamil,107.597,-6.9281,712,651,566,573,620,645,585,531,581,526,482,639,7111
Balaikota Bandung,"Jl. Wastukencana No. 2, Babakan, Ciamis, Jawa Barat",-,107.61,-6.9114,891,69,981,1018,1086,702,731,856,842,738,524,572,9010
Bandung Kidul,"Jl. Batununggal No.3, Kb. Waru, Batununggal, Kota Bandung, Jawa Barat 40272, Indonesia",Kecamatan Bandung Kidul,0,0,0,0,70,371,367,234,522,667,559,658,573,678,4699
Bandung Kulon,"Jl. Holis No.210, Caringin, Bandung Kulon, Kota Bandung, Jawa Barat 40212, Indonesia",Kecamatan Bandung Kulon,0,0,0,0,4,107,62,99,120,157,192,288,236,257,1522
Bandung Wetan,"Jl. Taman Sari No.49, Lb. Siliwangi, Coblong, Kota Bandung, Jawa Barat 40132, Indonesia",Kecamatan Bandung Wetan,0,0,0,0,9,81,131,140,192,140,106,100,115,39,1053
